newnames,group.id2
Corythaeola_cristata,bird
Geospiza_fuliginosa,bird
Meleagris_gallopavo,bird
Anodorhynchus_leari,bird
Sula_dactylatra1,bird
Nyctibius_grandis,bird
Nycticorax_nycticorax,bird
Ortalis_motmot,bird
Penelope_purpurascens,bird
Casuarius_unappendiculatus,bird
Dromaius_novaehollandiae,bird
Rhea_americana,bird
Struthio_camelus,bird
Accipiter_nisus,bird
Acrocephalus_arundinaceus,bird
Aegotheles_cristatus,bird
Aegypius_monachus,bird
Alcedo_atthis,bird
Rhopocichla_atriceps,bird
Alectura_lathami,bird
Amazilia_tzacatl,bird
Amazona_guildingii,bird
Anas_platyrhynchos,bird
Anhinga_anhinga,bird
Anser_anser,bird
Anseranas_semipalmata,bird
Grus_virgo,bird
Caprimulgus_carolinensis,bird
Aptenodytes_forsteri,bird
Apteryx_australis,bird
Apus_apus,bird
Aquila_chrysaetos,bird
Aramus_guarauna,bird
Archilochus_colubris,bird
Casmerodius_albus,bird
Ardea_purpurea,bird
Ardeotis_australis,bird
Asio_otus,bird
Atelornis_pittoides,bird
Athene_noctua,bird
Aulacorhynchus_haematopygus,bird
Aythya_valisineria,bird
Balaeniceps_rex,bird
Balearica_pavonina,bird
Balearica_regulorum,bird
Barnardius_zonarius,bird
Baryphthengus_martii,bird
Baryphthengus_ruficapillus,bird
Bombycilla_cedrorum,bird
Bombycilla_garrulus,bird
Bonasa_umbellus,bird
Brachypteracias_leptosomus,bird
Branta_canadensis,bird
Bubo_bubo,bird
Bubulcus_ibis,bird
Bucco_capensis,bird
Buceros_rhinoceros,bird
Bucorvus_abyssinicus,bird
Buphagus_erythrorhynchus,bird
Burhinus_bistriatus,bird
Burhinus_oedicnemus,bird
Buteo_buteo,bird
Cacatua_alba,bird
Calcarius_lapponicus,bird
Calandrella_rufescens,bird
Calonectris_diomedea,bird
Calyptomena_viridis,bird
Campylorhamphus_trochilirostris,bird
Capito_niger,bird
Caprimulgus_aegyptius,bird
Caprimulgus_europaeus,bird
Caprimulgus_macrurus,bird
Cardinalis_cardinalis,bird
Cariama_cristata,bird
Cathartes_aura,bird
Catharus_fuscescens,bird
Celeus_flavescens,bird
Centropus_phasianinus,bird
Cephalopterus_ornatus,bird
Cepphus_grylle,bird
Pipra_rubrocapilla,bird
Megaceryle_alcyon,bird
Chaetura_pelagica,bird
Charadrius_vociferus,bird
Chauna_chavaria,bird
Chelidoptera_tenebrosa,bird
Chionis_albus,bird
Chlamydotis_undulata,bird
Chlidonias_niger,bird
Chloroceryle_aenea,bird
Chloropsis_aurifrons,bird
Chordeiles_minor,bird
Larus_philadelphia,bird
Chauna_torquata,bird
Chunga_burmeisteri,bird
Strix_nigrolineata,bird
Ciconia_ciconia,bird
Ciconia_maguari,bird
Cichladusa_guttata,bird
Cinclus_mexicanus,bird
Cisticola_cantans,bird
Clamator_glandarius,bird
Climacteris_rufus,bird
Cnemophilus_loriae,bird
Colinus_virginianus,bird
Colius_striatus,bird
Colluricincla_harmonica,bird
Columba_livia,bird
Columbina_passerina,bird
Conopophaga_ardesiaca,bird
Coracias_benghalensis,bird
Coracina_novaehollandiae,bird
Corvus_brachyrhynchos,bird
Corvus_corone,bird
Coturnix_coturnix,bird
Coua_gigas,bird
Crax_rubra,bird
Crypturellus_cinereus,bird
Cuculus_canorus,bird
Cuculus_pallidus,bird
Culicicapa_ceylonensis,bird
Cursorius_cursor,bird
Cygnus_cygnus,bird
Dendrocygna_arcuata,bird
Dendroica_petechia,bird
Deroptyus_accipitrinus,bird
Dicaeum_ignipectus,bird
Dicrurus_macrocercus,bird
Dicrurus_megarhynchus,bird
Diomedea_exulans,bird
Phoebastria_nigripes,bird
Donacobius_atricapilla,bird
Dromas_ardeola,bird
Drymodes_brunneopygia,bird
Dryocopus_pileatus,bird
Dulus_dominicus,bird
Egretta_garzetta,bird
Emberiza_cirlus,bird
Eubucco_bourcierii,bird
Eudocimus_ruber,bird
Eudromia_elegans,bird
Eurostopodus_macrotis,bird
Eurylaimus_ochromalus,bird
Eurypyga_helias,bird
Eurystomus_gularis,bird
Eutoxeres_condamini,bird
Falco_peregrinus,bird
Formicarius_analis,bird
Formicarius_rufipectus,bird
Fratercula_arctica,bird
Fregata_magnificens,bird
Fregata_minor,bird
Fulmarus_glacialis,bird
Furnarius_rufus,bird
Galbula_dea,bird
Galbula_ruficauda,bird
Gallinula_chloropus,bird
Gallus_gallus,bird
Gampsonyx_swainsonii,bird
Garrulax_galbanus,bird
Garrulus_glandarius,bird
Gavia_stellata,bird
Geococcyx_californianus,bird
Geospiza_fortis,bird
Grallaria_ruficapilla,bird
Grus_americana,bird
Grus_antigone,bird
Gymnorhina_tibicen,bird
Gyps_fulvus,bird
Haematopus_ostralegus,bird
Todiramphus_pyrrhopygius,bird
Haliaeetus_albicilla,bird
Haliaeetus_leucocephalus,bird
Hemiprocne_mystacea,bird
Himantopus_himantopus,bird
Himantopus_mexicanus,bird
Hirundo_rustica,bird
Hylia_prasina,bird
Hymenops_perspicillatus,bird
Ibycter_americanus,bird
Indicator_indicator,bird
Indicator_maculatus,bird
Irena_puella,bird
Ixobrychus_minutus,bird
Jacana_spinosa,bird
Jynx_torquilla,bird
Lanius_ludovicianus,bird
Larus_marinus,bird
Leiothrix_lutea,bird
Leptoptilos_dubius,bird
Leptotila_verreauxi,bird
Leucopsar_rothschildi,bird
Limosa_lapponica,bird
Locustella_naevia,bird
Lophorina_superba,bird
Lorius_lory,bird
Loxia_leucoptera,bird
Megalaima_haemacephala,bird
Melanocharis_versteri,bird
Meliphaga_lewinii,bird
Melopsittacus_undulatus,bird
Menura_novaehollandiae,bird
Merops_nubicus,bird
Merops_viridis,bird
Mesembrinibis_cayennensis,bird
Micrastur_semitorquatus,bird
Micropsitta_bruijnii,bird
Micropygia_schomburgkii,bird
Momotus_momota,bird
Monias_benschi,bird
Motacilla_alba,bird
Musophaga_violacea,bird
Myiagra_hebetior,bird
Neophron_percnopterus,bird
Nestor_notabilis,bird
Nicator_chloris,bird
Nothoprocta_ornata,bird
Numenius_arquata,bird
Numida_meleagris,bird
Nyctibius_griseus,bird
Rostratula_semicollaris,bird
Oceanodroma_tethys,bird
Odontophorus_capueira,bird
Odontophorus_gujanensis,bird
Oenanthe_oenanthe,bird
Opisthocomus_hoazin,bird
Oriolus_oriolus,bird
Otis_tarda,bird
Oxylabes_madagascariensis,bird
Oxyura_jamaicensis,bird
Pachycephala_philippinensis,bird
Pachyramphus_minor,bird
Pandion_haliaetus,bird
Paradisaea_raggiana,bird
Paradisaea_rudolphi,bird
Paradisaea_minor,bird
Pardalotus_striatus,bird
Passer_domesticus,bird
Pelagodroma_marina,bird
Pelecanoides_georgicus,bird
Pelecanoides_urinatrix,bird
Pelecanus_occidentalis,bird
Perdix_perdix,bird
Pernis_apivorus,bird
Phaethon_aethereus,bird
Phaethon_lepturus,bird
Phaethornis_superciliosus,bird
Phainopepla_nitens,bird
Phalacrocorax_carbo,bird
Phalcoboenus_australis,bird
Philepitta_castanea,bird
Phoenicopterus_ruber,bird
Phoeniculus_bollei,bird
Phylloscopus_ruficapilla,bird
Picoides_pubescens,bird
Picus_viridis,bird
Pipilo_chlorurus,bird
Pitta_sordida,bird
Platalea_ajaja,bird
Platalea_leucorodia,bird
Plectrophenax_nivalis,bird
Ploceus_nigricollis,bird
Pluvialis_squatarola,bird
Pluvianellus_socialis,bird
Pluvianus_aegyptius,bird
Podargus_strigoides,bird
Podiceps_cristatus,bird
Parus_atricapillus,bird
Porphyrio_porphyrio,bird
Porzana_atra,bird
Probosciger_aterrimus,bird
Prunella_modularis,bird
Psarocolius_wagleri,bird
Psittacus_erithacus,bird
Psophia_crepitans,bird
Pterocles_gutturalis,bird
Lugensa_brevirostris,bird
Pterodroma_macroptera,bird
Ptilinopus_roseicapilla,bird
Ptilonorhynchus_violaceus,bird
Puffinus_puffinus,bird
Pygoscelis_adeliae,bird
Quiscalus_mexicanus,bird
Ramphastos_sulfuratus,bird
